epoch train test
0 10.45443986456686 6.983326025009156
1 5.3418000825246175 4.479310338497162
2 4.26786535859108 3.9513906872272493
3 3.8269854096571603 3.55290925860405
4 3.568810160160065 3.472644816637039
5 3.3886611580848696 3.2265363264083864
6 3.213910287022591 3.046157213449478
7 3.0499553165833153 2.9212986290454865
8 2.9381840993960697 2.7342744421958924
9 2.8263123009602227 2.7038220989704134
10 2.7238503185908 2.6005906796455385
11 2.6355157309770583 2.5238266551494597
12 2.5380991689364114 2.4404205030202863
13 2.460132027665774 2.39182759642601
14 2.3905747790137926 2.3202146500349046
15 2.3223191927870115 2.245677563548088
16 2.250689241886139 2.1521864914894104
17 2.1956594386696815 2.154814917445183
18 2.1625760944684345 2.0842047917842863
19 2.11211973130703 2.0240467327833174
20 2.0711784823735555 1.9630037659406663
21 2.0379795840382577 1.8925592255592347
22 2.011235075791677 1.9194052225351335
23 1.9777955489357313 1.920711886882782
24 1.9425234247247378 1.8973716288805007
25 1.9238248685995738 1.9124448210000993
26 1.9025636820495129 1.8324129915237426
27 1.8657070817550023 1.7062945050001144
28 1.8551318657398224 1.6721851062774657
29 1.8256740862131118 1.7602160578966142
30 1.8031443027655283 1.6757178497314453
31 1.772003627518813 1.7894235569238663
32 1.755971058656772 1.6686805456876754
33 1.7257187846302986 1.65312932908535
34 1.708904767036438 1.6866839307546615
35 1.6862788361807663 1.5710852923989296
36 1.6605280716717243 1.5491095280647278
37 1.6433929478625457 1.6988806456327439
38 1.6270150476694107 1.451521024107933
39 1.59428301880757 1.5033617812395095
40 1.5843480137983958 1.5132685887813568
41 1.555437292357286 1.4338055056333543
42 1.5442835878829162 1.424970491528511
43 1.5252699625988801 1.4087986129522323
44 1.5082727993031342 1.3983848205208778
45 1.4843003771205743 1.3588567957282067
46 1.473178956756989 1.370144980251789
47 1.446903560856978 1.4245590043067933
48 1.4321410610278447 1.368697585761547
49 1.4189079046746096 1.1610309773683547
50 1.404974258840084 1.3131158569455146
51 1.399718542546034 1.299330946803093
52 1.376441627641519 1.1569421663880348
53 1.3719745913147927 1.2952044644951821
54 1.3526800805826982 1.384089937210083
55 1.334213145126899 1.2897928166389465
56 1.3260208745797475 1.2054090988636017
57 1.3115323423842589 1.1639486920833588
58 1.2975149525701999 1.1537490954995155
59 1.2880193483332794 1.2444251254200935
60 1.2750466558337212 1.2213774013519287
61 1.2621333522101243 1.182563025355339
62 1.2490867592891057 1.1534627828001975
63 1.2360096177458764 1.1582501447200775
64 1.2325329762448867 1.20511338442564
65 1.2143253594636918 1.1101917979121207
66 1.2077565198143323 1.0878994217514992
67 1.194613041083018 0.9877351416647434
68 1.1861722718179226 1.1456437450647354
69 1.1838672478000323 1.0454424670338631
70 1.1711093921462694 1.068931401371956
71 1.1559569740792115 0.9841954860836267
72 1.154772463987271 1.16325302362442
73 1.1437677730619908 1.120084100663662
74 1.1366754604130984 1.0127640128135682
75 1.121734669332703 1.15148202419281
76 1.116930363426606 1.0247439381480217
77 1.1107202739268542 0.9877753269672394
78 1.1000221277276674 1.018961292207241
79 1.099400674700737 0.9985034513473511
80 1.0795735247929892 0.9415386497974396
81 1.07310487156113 1.0512978583574295
82 1.074996222158273 0.9518245151638984
83 1.0574806007494528 0.9830722081661224
84 1.0570814994474251 0.9506175243854522
85 1.0526420358320077 1.000145282447338
86 1.0491676420966785 1.1077143254876136
87 1.0412847050527732 0.8682058407366275
88 1.0310121178627014 0.9395886576175689
89 1.0266620462636153 0.9652345180511475
90 1.0213660678019125 0.8136815276741981
91 1.0124197331815958 0.9158331754803658
92 1.0048844071477652 0.964780374020338
93 0.9992473553369443 0.8509907329082489
94 0.9960330478101969 0.9098204579949379
95 0.9917981772124768 0.8814646224677563
96 0.983912975974381 0.8679568454623222
97 0.9793416614085436 0.8579876755177974
98 0.9696574969341357 1.0536749774217606
99 0.9736900882422924 0.9207708409428597
100 0.9610299320767323 0.8638926756381988
101 0.9545077731460333 0.8996332585811615
102 0.9447761821995179 0.876827783882618
103 0.9465897115816673 0.8058625155687332
104 0.9433847349633773 0.8692244151234627
105 0.9349988136192163 0.8617633372545243
106 0.9325285452604294 0.7861391182243824
107 0.9312660013884306 0.7894564773887396
108 0.9208396477997303 0.756165131777525
109 0.9109218729784091 0.7481060484051705
